"","v1","v2","v3","q2_1","q2_2","q2_3","q3_1","q3_2","q3_3","q3_4","q3_5","q4_1","q4_2","q4_3","q4_4","q4_5","q4_6","q4_7","q4_8","q5","q6_1","q6_2","q6_3","q6_4","q6_5","q6_6","q6_7","q6_8","q6_9","q7_1","q7_2","q7_3","q7_4","q7_5","q7_6","q8_1","q8_2","q9_1","q9_2","q9_3","q9_4","q9_5","q9_6","q9_7","q9_8","q10","q11_1","q11_2","q11_3","q11_4","q11_5","q11_6","q11_7","q11_8","q11_9","q12_3","q12_4","q12_5","q12_6","q13_1","q13_2","q14_1","q14_2","q14_3","q14_4","q14_5","q14_6","q14_7","q14_8","q15","q16_1","q16_2","q16_3","q16_4","q16_5","q16_6","q16_7","q16_8","q16_9","q17_1","q17_2","q17_5","q17_6","q18","q19_1","q19_2","q19_3","q20_1","q20_2","q20_3","q20_4","q20_5","q20_6","q20_7","q20_8","q21","q22_1","q22_2","q22_3","q22_4","q22_5","q22_6","q22_7","q22_8","q22_9","q23_1","q23_2","q23_3","q23_4","q23_5","q23_6","q24","q25","q26_1","q26_2","q26_3","q26_4","q26_5","q26_6","q26_7","q26_8","q26_9","q26_10","q27_1","q27_2","q27_3","q27_4","q27_5","q27_6","q27_7","q27_8","q27_9","q27_10","q27_11","q28_1","q28_2","q28_3","q28_4","q28_5","q28_6","q28_7","q28_8","q28_9","q28_10","q29_1","q29_2","q29_3","q29_4","q29_5","q29_6","q29_7","q29_8","q29_9","q29_10","q29_11","q30_1","q30_2","q30_3","q31","q32","q33_1","q33_2","q33_3","q33_4","q33_5","q33_6","q33_7","q33_8","q33_9","q33_10","q33_11","q33_12","q33_13","q341_8","q341_9","q341_12","q341_13","q341_18","q341_20","q341_21","q341_24","q341_25","q341_26","q341_28","q341_29","q341_30","q342_8","q342_9","q342_12","q342_13","q342_18","q342_20","q342_21","q342_24","q342_25","q342_26","q342_28","q342_29","q342_30","q35_1","q35_2","q35_3","q35_4","q36_1","q36_2","q36_3","q36_4","q36_5","q37_1","q37_2","q37_3","q37_4","q37_5","q37_6","q38_1","q38_2","q38_3","q38_4","q38_5","q38_6","q38_7","q39_1","q39_2","q39_3","q39_4","q39_5","q39_6","q39_7","q39_8","q39_9","q40_1","q40_2","q40_3","q40_4","q41","q42_1","q42_2","q42_3","q43_1","q43_2","q43_3","q43_4","q43_5","q43_6","q43_7","q43_8","q43_9","q43_10","q44_1","q44_2","q44_3","q44_4","q44_5","q44_6","q45_1","q45_2","q45_3","q45_4","q45_5","q45_6","q46_1","q46_2","q46_3","q46_4","q46_5","q46_6","q46_7","q46_8","q46_9","q46_10","q46_11","q46_12","q46_13","q46_14","q46_15","q46_16","q46_17","q46_17_text","q46_18","q47_1","q47_2","q47_3","q47_4","q47_5","q48","q49","q50","q51","q52","q53","q54_1","q54_2","q54_3","q54_4","q54_5","q54_6","q55","q56_1","q56_2","q56_3","q56_4","q56_5","q57_1","q57_2","q57_3","q57_4","q57_5","q58","q59","q60","q61","q62","q63","q64","q65_1","q65_2","q65_3","q65_4","q65_5","q65_6","q65_7","q66_1","q66_2","q66_3","q66_4","q66_5","q66_6","q66_7","q66_8","q67","q68_1","q68_2","q68_3","q68_4","q68_5","q68_6","q69_1_text","q69_2_text","q70","q71","q72","dobrfl_10","doqq66","doqq68","doqq26","doqq46","doqq7","doqq17","doqq23","doqq12","doqq34","doqq29","doqq4","doqq9","doqq14","doqq20","denom","q62no","q1","q88_1","q88_2","q88_3","treat","treat_1","treat_2","treat_3","treat_4","ft_1","ft_2","ft_3","ft_4","ft_5","ft_6","ft_7","ft_8","llg","tol_1","tol_2","tol_3","tol_4","tol_5","tol_6","tol_7","tol_8","tol_9","rv_1","rv_2","rv_3","rv_4","rv_5","rv_6","tol_2r","tol_4r","tol_6r","tol_a","tol_7r","tol_8r","tol_9r","threat_a"
"150","Default Response Set",2014-02-18 11:49:26,2014-02-18 12:13:01,1,1,1,3,1,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,0,0,100,100,0,0,70,2,1,3,3,2,3,2,2,2,2,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4,4,5,1,5,3,2,1,2,3,2,1,2,1,3,1,3,1,4,4,2,1,3,1,2,2,3,1,2,2,3,5,4,1,3,3,4,1,5,5,4,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,1,1,2,2,1,1,1,2,3,3,2,NA,NA,NA,1,NA,2,2,2,2,3,2,1,2,1,2,2,2,2,0,0,100,10,11,0,0,NA,100,1,1,2,2,1,5,4,2,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,2,2,1,1,1,160,90,15,3,4,2,2,2,2,2,1,1,1,1,1,3,2,3,2,1,1,4,2,3,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,"12","1",36,5,1,"Treatment 1 - Inclusive","4|5|8|1|2|7|6|3","1|3|6|5|4|2","10|7|3|1|5|9|4|2|8|6","1|13|15|3|6|10|8|9|2|12|16|7|11|4|5|14|17|18","","","","3|4|5|6","29|26|9|12|18|8|25|30|21|28|20|13|24","6|1|5|7|4|8|9|3|11|2|10","","3|2|6|4|7|8|5|1","","",5,NA,NA,NA,NA,NA,2,0,1,0,0,100,0,0,100,100,0,0,70,2,1,3,3,2,3,2,2,2,2,1,1,5,5,1,5,2,3,3,2.5,3,3,3,3
"151","Default Response Set",2014-02-18 12:22:17,2014-02-18 12:40:28,5,5,5,3,3,1,3,3,29,70,1,29,11,30,10,58,3,3,3,2,3,4,3,2,2,1,1,1,5,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,4,2,5,2,2,1,2,4,3,1,4,4,4,1,2,2,4,4,3,2,2,1,2,2,3,2,2,2,2,4,4,5,5,4,4,1,4,4,3,3,2,NA,NA,1,13,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,1,2,1,3,4,3,4,NA,NA,1,1,NA,2,1,2,2,1,2,1,2,2,2,1,2,2,10,31,31,31,61,3,NA,NA,NA,2,1,1,1,1,4,4,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,2,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,2,2,1,1,1,200,130,30,6,3,1,1,1,1,2,1,1,2,2,4,2,2,5,6,7,6,5,3,2,1,2,1,5,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,2,4,2,1,1,4,"24","3",47,6,1,"Control","6|5|7|3|1|8|4|2","3|4|5|2|1|6","10|4|7|3|5|9|2|6|8|1","6|5|14|7|15|11|2|1|16|9|4|3|12|8|10|13|17|18","3|2|1|4|5|6","","","","18|25|13|21|29|28|8|12|24|20|26|9|30","7|6|11|1|3|4|10|5|9|2|8","5|7|2|8|4|6|1|3","","","",5,NA,NA,NA,NA,NA,1,1,0,0,0,29,70,1,29,11,30,10,58,3,3,3,2,3,4,3,2,2,1,1,1,5,2,1,2,2,2,2,2.5,3,3,4,3.33333325386047
"152","Default Response Set",2014-02-18 12:37:04,2014-02-18 12:59:53,5,4,5,4,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,50,42,1,50,23,23,5,80,3,4,2,3,2,3,2,3,4,2,2,1,5,3,1,2,2,3,2,4,4,2,4,3,2,1,2,2,3,1,3,3,3,2,2,2,3,3,2,2,3,2,NA,NA,NA,NA,NA,NA,2,4,4,3,4,4,3,1,5,4,3,3,1,1,1,1,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,1,1,1,1,1,NA,1,1,2,2,1,2,1,1,1,1,1,1,3,2,2,3,1,NA,NA,NA,NA,2,1,2,2,3,2,1,2,1,2,1,2,1,NA,70,50,60,71,3,3,3,50,2,1,1,1,1,7,4,3,1,1,NA,NA,NA,1,NA,NA,NA,NA,2,1,1,1,1,1,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,3,2,1,1,1,725,350,40,3,4,1,1,1,2,2,1,1,2,2,3,2,2,5,3,2,6,5,2,2,1,1,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,3,2,1,2,5,"22 years","5",42,6,1,"Treatment 3 - Status","5|8|4|3|1|6|2|7","5|6|4|3|2|1","4|2|1|9|6|3|7|8|5|10","4|6|15|3|13|7|8|9|5|10|16|2|1|11|14|12|17|18","","","1|3|4|2|5|6","","12|26|25|21|28|18|30|13|29|24|8|9|20","6|2|1|3|10|9|8|11|4|5|7","","","","8|6|5|7|2|4|3|1",5,NA,NA,NA,NA,NA,4,0,0,0,1,50,42,1,50,23,23,5,80,3,4,2,3,2,3,2,3,4,2,2,1,5,3,1,2,3,3,3,3.16666674613953,2,1,3,2
"153","Default Response Set",2014-02-18 12:46:10,2014-02-18 13:07:57,2,4,2,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,83,7,4,84,55,4,4,83,3,1,3,1,3,1,3,1,3,1,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,4,4,1,4,4,4,1,1,4,2,1,3,3,3,2,2,1,3,3,1,2,3,3,3,4,3,2,2,1,3,4,4,4,4,3,3,1,4,4,4,2,NA,1,NA,1,6,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,NA,NA,NA,NA,NA,2,2,2,2,3,2,1,2,2,2,2,2,2,3,2,91,2,NA,5,5,NA,NA,1,2,2,2,1,7,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,1,2,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,"",NA,2,3,3,2,2,1,120,100,50,1,4,1,1,2,2,1,2,1,1,2,2,2,2,6,2,1,2,5,2,2,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,5,5,3,4,4,5,"25","10",17,5,1,"Treatment 1 - Inclusive","3|7|8|4|2|1|6|5","2|4|5|1|3|6","6|4|8|2|3|10|7|1|9|5","15|13|16|8|11|12|14|6|5|2|10|9|7|3|1|4|17|18","","","","4|3|5|6","26|30|8|9|28|20|12|25|18|13|29|21|24","4|8|6|2|3|7|9|5|11|10|1","","2|4|1|8|5|3|7|6","","",5,NA,NA,NA,NA,NA,2,0,1,0,0,83,7,4,84,55,4,4,83,3,1,3,1,3,1,3,1,3,1,1,1,4,1,1,2,2,2,2,1.5,4,2,4,3.33333325386047
"154","Default Response Set",2014-02-18 13:13:26,2014-02-18 13:30:47,3,3,2,3,2,2,2,3,82,8,1,83,46,0,11,86,3,3,3,3,3,2,3,3,3,1,1,1,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,4,3,2,1,2,2,1,1,2,2,3,1,1,2,3,4,2,1,4,3,2,2,2,1,2,2,3,4,4,2,2,3,5,1,4,4,2,2,1,1,1,1,8,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2,NA,NA,1,NA,NA,1,2,2,2,1,2,1,1,1,1,1,2,1,1,14,67,51,68,2,0,2,1,2,2,2,1,1,5,3,2,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,NA,1,1,NA,"",1,2,2,2,2,2,1,100,75,40,7,4,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,4,3,3,2,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,4,2,3,3,5,"28","14",12,6,1,"Control","3|7|1|8|2|6|4|5","4|1|3|2|5|6","6|10|3|1|9|8|4|5|2|7","13|6|8|12|2|5|10|1|3|9|14|4|7|16|15|11|17|18","1|2|3|4|5|6","","","","24|20|12|25|8|28|13|21|26|18|29|30|9","5|2|9|6|8|10|3|1|11|4|7","1|3|8|6|5|4|7|2","","","",5,NA,NA,NA,NA,NA,1,1,0,0,0,82,8,1,83,46,0,11,86,3,3,3,3,3,2,3,3,3,1,1,1,4,2,1,2,2,2,2,2.33333325386047,2,2,4,2.66666674613953
"155","Default Response Set",2014-02-18 09:05:07,2014-02-18 13:31:31,4,4,4,2,5,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,50,10,0,40,41,30,7,80,3,3,2,3,2,3,2,2,3,1,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,3,2,4,3,2,1,2,4,2,2,2,2,3,2,2,2,3,3,2,2,2,3,2,2,3,2,2,3,2,4,5,4,5,4,4,1,5,3,3,3,1,1,1,1,13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,4,4,4,4,NA,NA,NA,NA,NA,2,3,2,2,3,2,1,2,1,2,2,2,2,11,50,51,40,60,NA,NA,NA,NA,1,2,2,2,1,6,4,4,1,1,1,NA,NA,1,NA,NA,NA,NA,2,2,2,1,1,1,2,2,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,2,3,2,2,1,225,110,30,3,3,1,1,1,1,1,2,1,2,2,2,2,2,6,4,2,6,4,1,3,2,2,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,3,4,3,3,2,4,"16","8",16,5,1,"Treatment 2 - Exclusive","7|4|1|8|2|3|6|5","1|5|6|2|4|3","4|2|7|6|9|10|5|8|1|3","2|3|12|6|1|16|10|7|14|8|13|5|11|4|9|15|17|18","","2|1|5|6","","","18|29|13|21|20|9|28|12|24|26|25|30|8","9|8|10|7|4|3|11|2|6|5|1","","","5|4|1|6|3|2|8|7","",5,NA,NA,NA,NA,NA,3,0,0,1,0,50,10,0,40,41,30,7,80,3,3,2,3,2,3,2,2,3,1,3,2,3,2,2,2,3,3,3,3,3,2,4,3
"156","Default Response Set",2014-02-18 13:18:46,2014-02-18 13:49:27,2,1,5,3,5,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,12,13,0,91,50,0,11,50,3,3,3,2,3,3,3,3,3,3,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,2,1,4,4,2,1,2,1,2,1,3,2,3,1,1,1,3,3,1,2,3,2,3,3,2,1,1,2,4,4,4,3,3,3,3,1,4,4,3,3,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,2,3,3,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,0,9,52,32,45,0,0,0,0,2,2,2,2,1,6,3,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,2,2,2,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,2,1,1,1,1,100,50,35,3,3,2,1,2,2,1,2,1,3,4,2,3,3,3,2,1,2,2,2,3,2,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,NA,3,4,5,"25","18",36,6,1,"Treatment 2 - Exclusive","2|3|1|7|5|6|4|8","4|6|3|1|5|2","5|9|4|7|6|10|8|2|3|1","8|16|14|9|5|3|13|4|10|15|11|1|12|6|7|2|17|18","","1|2|5|6","","","9|26|20|21|24|28|12|25|29|13|30|18|8","4|9|5|10|2|3|7|6|8|1|11","","","2|5|3|1|4|6|8|7","",5,NA,NA,NA,NA,NA,3,0,0,1,0,12,13,0,91,50,0,11,50,3,3,3,2,3,3,3,3,3,3,1,1,5,5,1,4,2,2,2,2.33333325386047,2,2,2,2
"157","Default Response Set",2014-02-18 13:42:15,2014-02-18 14:08:27,4,4,2,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,85,NA,0,90,NA,NA,0,80,3,1,4,3,2,3,2,2,3,1,1,2,5,1,1,3,1,2,1,3,4,1,4,2,2,1,2,2,4,1,3,1,4,2,2,2,2,3,1,2,2,2,4,2,3,1,2,1,3,4,5,5,4,4,3,1,4,3,4,2,2,1,1,1,7,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,3,NA,NA,1,NA,NA,2,2,2,2,3,2,1,2,2,2,1,2,2,11,12,80,73,11,10,12,12,12,2,2,1,1,1,7,4,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"",1,1,3,1,1,1,1,550,225,40,4,4,1,1,2,1,1,2,1,1,2,2,2,2,5,2,2,4,5,3,2,1,1,1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,5,4,4,4,5,"33","15",26,6,1,"Treatment 3 - Status","5|4|3|7|2|8|1|6","3|4|1|6|5|2","10|4|1|2|9|5|3|7|8|6","10|15|2|3|16|1|9|7|11|12|14|8|13|5|4|6|17|18","","","4|1|3|2|5|6","","18|24|13|30|29|20|28|21|9|26|12|8|25","11|4|7|3|10|9|6|2|5|8|1","","","","1|3|2|6|7|5|8|4",5,NA,NA,NA,NA,NA,4,0,0,0,1,85,NA,0,90,NA,NA,0,80,3,1,4,3,2,3,2,2,3,1,1,2,5,1,1,3,1,3,3,2.33333325386047,3,2,4,3
"158","Default Response Set",2014-02-18 13:52:46,2014-02-18 14:34:24,4,4,2,2,5,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,3,2,3,2,2,3,3,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,3,2,2,3,3,3,3,4,4,2,4,4,4,3,3,3,3,4,3,2,2,2,3,3,2,1,1,1,2,4,5,5,4,4,2,2,3,2,3,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,NA,NA,NA,NA,NA,3,1,2,2,3,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,1,4,4,6,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,3,2,2,2,1,250,100,40,1,3,2,2,2,2,1,2,1,3,3,3,3,3,2,2,2,2,2,3,2,3,3,1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,3,1,1,1,4,"14 years","3 years",39,4,1,"Treatment 1 - Inclusive","3|8|2|5|4|1|6|7","5|3|6|4|2|1","1|7|8|6|2|3|4|5|10|9","14|12|13|3|16|15|11|7|10|9|6|4|2|5|1|8|17|18","","","","4|3|5|6","12|29|24|25|8|26|20|30|18|21|13|28|9","10|5|9|4|11|1|6|8|7|3|2","","8|5|2|3|1|7|6|4","","",5,NA,NA,NA,NA,NA,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,3,2,3,2,2,3,3,1,1,4,2,1,1,3,3,3,3,3,2,2,2.33333325386047
"159","Default Response Set",2014-02-18 14:05:20,2014-02-18 15:02:10,5,6,6,3,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,61,9,0,25,50,0,0,50,3,2,2,4,2,3,2,3,4,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,2,4,1,5,3,4,1,2,2,2,1,3,2,4,2,2,2,3,4,2,2,2,1,2,3,3,1,1,3,2,3,5,4,5,3,4,1,4,3,3,3,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,NA,NA,NA,NA,NA,2,1,2,2,3,2,1,2,2,2,2,2,2,0,0,24,81,27,24,26,27,25,2,2,2,2,1,3,4,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,1,2,2,2,2,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,2,2,2,2,2,1,345,140,25,8,4,1,1,1,1,2,2,1,3,3,2,3,2,4,2,2,6,4,1,3,2,2,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,4,3,3,2,4,"34","30",47,6,1,"Treatment 2 - Exclusive","3|4|1|8|5|6|7|2","3|5|4|1|2|6","8|5|9|2|1|4|6|10|7|3","4|8|7|5|6|16|2|10|11|1|14|12|13|15|9|3|17|18","","1|2|5|6","","","20|25|9|12|24|29|13|8|26|28|18|30|21","6|7|11|8|1|2|5|10|9|3|4","","","1|3|2|4|5|6|7|8","",5,NA,NA,NA,NA,NA,3,0,0,1,0,61,9,0,25,50,0,0,50,3,2,2,4,2,3,2,3,4,2,1,2,5,5,2,3,3,3,3,3,2,1,3,2
